month,lgcode,n
202101,28107,48423
202101,28108,31880
202101,28109,139139
202101,28110,252557
202101,28111,40245
202101,28201,114001
202101,28202,55679
202101,28203,23432
202101,28204,112213
202101,28205,18529
202101,28206,9655
202101,28207,12795
202101,28208,12776
202101,28209,73328
202101,28210,20791
202101,28212,23090
202101,28213,26927
202101,28214,128413
202101,28215,420064
202101,28216,9511
202101,28217,18344
202101,28218,22862
202101,28219,29447
202101,28220,25609
202101,28221,23253
202101,28222,82366
202101,28223,22626
202101,28224,57559
202101,28225,76168
202101,28226,223356
202101,28227,55976
202101,28228,131205
202101,28229,39585
202101,28301,21558
202101,28365,14032
202101,28381,1046
202101,28382,2202
202101,28442,8387
202101,28443,5491
202101,28446,8773
202101,28464,3721
202101,28481,13166
202101,28501,17965
202101,28585,83242
202101,28586,11576
202101,29201,275675
202101,29202,2953
202101,29203,7401
202101,29204,49717
202101,29205,60370
202101,29206,65998
202101,29207,26463
202101,29208,13076
202101,29209,15575
202101,29210,1922
202101,29211,22968
202101,29212,39384
202101,29322,4294
202101,29342,3727
202101,29343,13835
202101,29344,10117
202101,29345,38
202101,29361,2414
202101,29362,404
202101,29363,9066
202101,29385,7471
202101,29386,10731
202101,29401,7023
202101,29402,20132
202101,29424,3541
202101,29425,999
202101,29426,4640
202101,29427,908
202101,29441,14563
202101,29442,15594
202101,29443,1289
202101,29444,13388
202101,29446,5786
202101,29447,839
202101,29449,5998
202101,29450,4951
202101,29451,296
202101,29452,7420
202101,29453,4067
202101,30201,75967
202101,30202,6975
202101,30203,14070
202101,30204,1252
202101,30205,1455
202101,30206,46595
202101,30207,11259
202101,30208,11728
202101,30209,11926
202101,30304,5897
202101,30341,35087
202101,30343,17779
202101,30344,18931
202101,30361,761
202101,30362,1236
202101,30366,10296
202101,30381,1653
202101,30382,3192
202101,30383,7280
202101,30390,6407
202101,30391,1926
202101,30392,7120
202101,30401,54104
202101,30404,24423
202101,30406,31378
202101,30421,22622
202101,30422,4905
202101,30424,974
202101,30427,489
202101,30428,13169
202101,31201,37797
202101,31202,16140
202101,31203,8468
202101,31204,6604
202101,31302,10991
202101,31325,21619
202101,31328,611
202101,31329,1339
202101,31364,1641
202101,31370,12646
202101,31371,15721
202101,31372,13677
202101,31384,72
202101,31386,32259
202101,31389,4234
202101,31390,1392
202101,31401,3852
202101,31402,7224
202101,31403,7056
202101,32201,56990
202101,32202,24649
202101,32203,116925
202101,32204,7964
202101,32205,11480
202101,32206,21848
202101,32207,32780
202101,32209,24745
202101,32343,5754
202101,32386,21293
202101,32441,4965
202101,32448,1816
202101,32449,5220
202101,32501,38008
202101,32505,7595
202101,32525,78
202101,32526,759
202101,32528,1007
202101,33101,358151
202101,33102,8851
202101,33103,9792
202101,33104,13608
202101,33202,79454
202101,33203,24643
202101,33204,18843
202101,33205,26167
202101,33207,5049
202101,33208,14804
202101,33209,7814
202101,33210,14098
202101,33211,10981
202101,33212,68139
202101,33213,19949
202101,33214,85860
202101,33215,22531
202101,33216,9984
202101,33346,7040
202101,33423,3558
202101,33445,1011
202101,33461,2852
202101,33586,4707
202101,33606,25647
202101,33622,626
202101,33623,1180
202101,33643,10821
202101,33663,5356
202101,33666,5098
202101,33681,19288
202101,34101,71149
202101,34102,7452
202101,34103,16975
202101,34104,10358
202101,34105,6618
202101,34106,2542
202101,34107,2661
202101,34108,8141
202101,34202,42372
202101,34203,25844
202101,34204,80543
202101,34205,46708
202101,34207,46406
202101,34208,2728
202101,34209,16224
202101,34210,59348
202101,34211,4629
202101,34212,58800
202101,34213,213996
202101,34214,9260
202101,34215,738
202101,34302,1696
202101,34304,569
202101,34307,626
202101,34309,3843
202101,34368,48768
202101,34369,75151
202101,34431,66
202101,34462,28673
202101,34545,17832
202101,35201,93109
202101,35202,22324
202101,35203,63272
202101,35204,49641
202101,35206,48281
202101,35207,13124
202101,35208,45172
202101,35210,4437
202101,35211,31741
202101,35212,4393
202101,35213,11239
202101,35215,60637
202101,35216,79143
202101,35305,22592
202101,35321,2434
202101,35341,11911
202101,35343,195
202101,35344,599
202101,35502,15942
202101,36201,38048
202101,36202,58971
202101,36203,9674
202101,36204,24834
202101,36205,4109
202101,36206,11985
202101,36207,19693
202101,36208,24192
202101,36301,5018
202101,36302,1221
202101,36321,154
202101,36341,1045
202101,36342,4614
202101,36368,10713
202101,36383,1316
202101,36387,38253
202101,36388,13529
202101,36401,2152
202101,36402,1122
202101,36403,586
202101,36404,14929
202101,36405,13730
202101,36468,9676
202101,36489,599
202101,37201,93118
202101,37202,18379
202101,37203,10595
202101,37204,16567
202101,37205,17609
202101,37206,21041
202101,37207,22989
202101,37208,31999
202101,37322,1591
202101,37324,5199
202101,37341,3334
202101,37364,2823
202101,37386,25474
202101,37387,9020
202101,37403,18566
202101,37404,1719
202101,37406,29005
